,person_id,id,name,role
22,13435,tm155702,Victor Fleming,DIRECTOR
175,15246,tm83648,Orson Welles,DIRECTOR
281,14797,tm77588,Michael Curtiz,DIRECTOR
328,23839,tm82363,Howard Hawks,DIRECTOR
351,17900,tm84701,John Huston,DIRECTOR
485,13440,tm156463,Sam Wood,DIRECTOR
486,13439,tm156463,George Cukor,DIRECTOR
487,13435,tm156463,Victor Fleming,DIRECTOR
488,46444,ts225761,Joseph Barbera,DIRECTOR
489,46445,ts225761,William Hanna,DIRECTOR
522,17900,tm5094,John Huston,DIRECTOR
540,17900,tm54459,John Huston,DIRECTOR
577,13439,tm81960,George Cukor,DIRECTOR
586,29799,tm58806,Akira Kurosawa,DIRECTOR
608,60935,tm4707,Michael Powell,DIRECTOR
609,60936,tm4707,Emeric Pressburger,DIRECTOR
673,25637,tm160494,John Ford,DIRECTOR
693,20266,tm47834,Fritz Lang,DIRECTOR
733,34568,tm3248,Tod Browning,DIRECTOR
793,21759,tm72527,Charlie Chaplin,DIRECTOR
824,17107,tm2346,Alfred Hitchcock,DIRECTOR
852,17107,tm8232,Alfred Hitchcock,DIRECTOR
875,62021,tm5608,Vittorio De Sica,DIRECTOR
895,72124,tm3293,Carl Theodor Dreyer,DIRECTOR
926,21759,tm52402,Charlie Chaplin,DIRECTOR
958,173677,tm87737,Benjamin Christensen,DIRECTOR
993,28661,tm137798,Ernest B. Schoedsack,DIRECTOR
994,28660,tm137798,Merian C. Cooper,DIRECTOR
1009,60935,tm88256,Michael Powell,DIRECTOR
1010,60936,tm88256,Emeric Pressburger,DIRECTOR
1061,45706,tm75346,Ernst Lubitsch,DIRECTOR
1089,15802,tm88077,David Lean,DIRECTOR
1127,21759,tm118404,Charlie Chaplin,DIRECTOR
1163,60935,tm117703,Michael Powell,DIRECTOR
1164,60936,tm117703,Emeric Pressburger,DIRECTOR
1182,15802,tm15621,David Lean,DIRECTOR
1210,55433,tm2234,Lloyd Bacon,DIRECTOR
1238,128933,tm72662,Irving Rapper,DIRECTOR
1274,56397,tm45031,William A. Wellman,DIRECTOR
1286,62831,tm2838,Irving Pichel,DIRECTOR
1287,28661,tm2838,Ernest B. Schoedsack,DIRECTOR
1298,72124,tm3805,Carl Theodor Dreyer,DIRECTOR
1329,106013,tm61524,Yasujirō Ozu,DIRECTOR
1397,13439,tm61720,George Cukor,DIRECTOR
1429,17107,tm100058,Alfred Hitchcock,DIRECTOR
1454,31393,tm4032,Laurence Olivier,DIRECTOR
1472,71801,tm20341,Roberto Rossellini,DIRECTOR
1510,13717,tm72126,William Wyler,DIRECTOR
1573,61174,tm163314,Frank Lloyd,DIRECTOR
1671,23839,tm82052,Howard Hawks,DIRECTOR
1694,60743,tm7281,Fred C. Newmeyer,DIRECTOR
1695,60744,tm7281,Sam Taylor,DIRECTOR
1712,47245,tm145237,Sergei Eisenstein,DIRECTOR
1733,106317,tm96925,Mark Sandrich,DIRECTOR
1750,17107,tm62467,Alfred Hitchcock,DIRECTOR
1791,21759,tm146745,Charlie Chaplin,DIRECTOR
1827,21759,tm122846,Charlie Chaplin,DIRECTOR
1836,105922,tm86380,Jean Cocteau,DIRECTOR
1938,17107,tm73245,Alfred Hitchcock,DIRECTOR
1948,17107,tm18203,Alfred Hitchcock,DIRECTOR
1960,120559,tm127045,Georges Méliès,DIRECTOR
1992,105803,tm80361,Tim Whelan,DIRECTOR
1993,105802,tm80361,Ludwig Berger,DIRECTOR
1994,60935,tm80361,Michael Powell,DIRECTOR
2053,13435,tm71078,Victor Fleming,DIRECTOR
2084,20266,tm137144,Fritz Lang,DIRECTOR
2133,13717,tm6099,William Wyler,DIRECTOR
2167,20042,tm94100,Carol Reed,DIRECTOR
2203,15802,tm5851,David Lean,DIRECTOR
2218,96169,tm7868,Jules Dassin,DIRECTOR
2230,55260,tm74188,Zoltan Korda,DIRECTOR
2255,31393,tm4311,Laurence Olivier,DIRECTOR
2321,70370,tm116613,Jack Conway,DIRECTOR
2341,22014,tm113696,James Whale,DIRECTOR
2352,15802,tm16783,David Lean,DIRECTOR
2373,66969,tm5310,Clarence Brown,DIRECTOR
2402,72094,tm6558,Anthony Asquith,DIRECTOR
2403,13303,tm6558,Leslie Howard,DIRECTOR
2457,15802,tm71624,David Lean,DIRECTOR
2458,34508,tm71624,Noël Coward,DIRECTOR
2507,106317,tm67670,Mark Sandrich,DIRECTOR
2519,134304,tm64788,Busby Berkeley,DIRECTOR
2557,53500,tm83273,Robert Z. Leonard,DIRECTOR
2623,44101,tm89464,George Seaton,DIRECTOR
2648,25637,tm66822,John Ford,DIRECTOR
